year,S12000033,S12000034,S12000041,S12000035,S12000005,S12000006,S12000042,S12000008,S12000045,S12000010,S12000011,S12000036,S12000014,S12000015,S12000046,S12000017,S12000018,S12000023,S12000019,S12000020,S12000021,S12000044,S12000024,S12000038,S12000026,S12000028,S12000029,S12000030,S12000039,S12000040,S00000000,S99999999,,,,,,,,,,
2010,753,492,266,106,132,292,537,261,191,255,153,1440,355,898,1961,447,143,50,236,160,312,829,318,389,214,244,720,189,209,377,20,12949,,,,,,,,,,
2011,736,455,251,119,128,294,540,236,179,259,133,1562,314,885,1863,433,135,64,262,148,280,809,349,349,208,214,591,182,187,367,26,12558,,,,,,,,,,
2012,798,466,248,77,122,257,566,248,183,260,147,1579,315,909,1817,406,123,68,250,161,302,789,297,309,189,236,663,181,188,381,35,12570,,,,,,,,,,
2013,793,449,241,101,137,231,505,225,185,301,129,1486,330,876,1775,381,107,64,286,150,250,683,265,265,177,222,670,181,189,264,28,11946,,,,,,,,,,
2014,767,434,229,96,117,251,527,247,158,259,133,1454,346,787,1798,399,103,57,262,124,264,735,265,297,162,213,616,186,168,309,15,11778,,,,,,,,,,
2015,736,431,253,104,114,235,548,255,168,276,160,1501,334,849,1827,398,112,52,242,139,263,726,276,328,142,228,611,186,221,404,16,12135,,,,,,,,,,
2016,677,418,232,87,136,256,534,263,172,246,130,1472,365,859,1799,400,134,60,264,140,253,753,284,351,183,169,673,202,198,402,6,12118,,,,,,,,,,
2017,700,426,246,87,145,256,564,239,199,269,160,1501,346,879,1878,383,108,67,242,120,282,814,284,340,192,208,656,215,214,418,14,12452,,,,,,,,,,
2018,698,460,267,112,144,261,636,270,183,292,142,1607,413,866,2038,436,138,51,291,155,321,879,282,378,193,228,703,227,251,413,12,13347,,,,,,,,,,
2019,738,472,269,110,177,254,579,226,187,261,173,1585,420,910,2103,445,167,71,285,162,301,837,282,411,197,230,758,215,251,494,13,13583,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
